Player,Successful defensive actions per 90,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Head goals per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,Crosses from right flank per 90,Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received long passes per 90,Fouls suffered per 90,"Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
C. Vela,2.52,2.7,1.01,31.25,1.91,0,44.12,20.588,0.19,1.76,57.14,0.57,1.13,0.13,2.58,43.9,2.58,1.45,0.38,2.01,1.01,19.18,35.42,0.25,2.08,1.19,0.75,4.97,63.29,4.28,63.24,1.95,2.26,0.82,6.86,89.91
K. Opoku,5.12,4.79,2.16,18.75,2.8,0,46.43,7.143,0.07,0.74,9.09,0.13,0.54,0,4.92,49.32,3.03,2.49,0.2,1.96,2.02,15.54,12.77,0.09,0.81,0.54,0.2,1.69,64,1.62,50,0.54,1.01,0.07,2.29,73.53
K. Jóźwiak,7.39,8.99,3.2,50,3.7,0.1,37.5,25,0.3,2.6,38.46,0.6,2,0.5,3.8,55.26,3.3,2.7,0.8,2,1.3,15.52,11.35,0.2,1.2,0.1,0.9,1.8,61.11,2.1,47.62,0.1,0.7,1.2,4.3,62.79
Léo Chú,4.48,5.46,1.53,28,2.45,0,50,13.636,0.43,5.09,30.12,5.03,0.06,0.61,5.46,57.3,3.43,3.07,1.23,2.64,0.98,17.22,13.91,0.23,1.29,0.74,1.1,1.35,63.64,4.97,45.68,0.74,1.72,1.29,4.41,79.17
F. Fragapane,5.46,5.06,1.53,47.37,2.66,0,53.85,0,0.08,1.93,37.5,1.69,0.16,0.16,3.53,47.73,3.29,1.61,1.36,0.72,1.61,16.01,24.74,0.18,1.45,0.64,0.4,4.01,72,2.41,70,0.56,2.01,0.8,6.02,74.67
Sang-Bin Jeong,2.51,1.83,2.4,28.57,1.23,0,40,6.667,0.11,1.48,30.77,0.34,1.14,0.11,3.08,59.26,2.28,1.71,0.57,1.25,0.57,19.62,34.78,0.13,1.25,1.03,0.46,2.4,33.33,1.83,37.5,1.03,0.34,0.46,2.05,72.22
J. Russell,5.12,3.41,3.64,40.43,3.85,0,50,15,0.16,2.33,30,0.31,2.02,0.47,5.89,52.63,3.72,3.33,0.93,1.78,2.25,17.63,30.19,0.1,1.24,0.39,0.47,3.1,62.5,2.4,45.16,0.7,1.09,0.54,5.19,68.66
M. Urruti,3.41,4.51,0.7,14.29,1.66,0,15.79,5.263,0,0.4,50,0.1,0.2,0.2,1.1,45.45,3.01,0.5,0.3,1.2,1.8,16.1,14.97,0.02,0.4,0.3,0.1,0.9,66.67,0.5,80,0.1,0.5,0.1,1.1,63.64
G. Zardes,3.1,2.52,7.5,43.27,2.24,0.29,42.86,23.81,0.07,0.29,50,0.22,0.07,0.07,1.66,52.17,3.17,0.29,0.29,1.44,1.37,14.69,2.59,0.1,0.36,0,0.29,1.15,68.75,0.72,40,0,0.43,0.07,1.01,85.71
B. Gutiérrez,5.48,5.27,1.76,21.88,2.87,0,31.58,5.263,0.33,1.04,36.84,0.6,0.33,0.27,3.62,48.48,2.19,1.76,0.99,1.1,1.86,16.29,36.14,0.16,0.77,0.38,0.6,4.88,70.79,2.19,65,0.77,1.32,0.49,4.83,68.18
K. Przybyłko,2.65,1.57,8.84,42.22,2.61,0,50,25,0.1,0.59,50,0.1,0.39,0,0.29,66.67,1.77,0.39,0.79,2.75,1.38,12.9,1.48,0.04,0.29,0.1,0.39,2.26,47.83,0.79,62.5,0.1,0.59,0.29,2.26,47.83
C. Bassett,6.19,7.7,1.76,28.57,2.8,0,30.43,8.696,0,1.42,29.41,0.84,0.59,0.25,2.26,66.67,2.09,1.92,0.5,1.76,0.75,17.65,31.3,0.05,0.67,0.67,0.33,3.6,67.44,2.09,32,0.84,0.59,0.25,3.76,71.11
B. White,2.34,2.11,6.57,42.61,1.64,0.11,32.14,12.5,0.17,0.46,25,0.17,0.23,0.06,1.37,62.5,5.2,0.74,0.06,2.34,0.69,14.2,5.12,0.09,0.8,0.17,0.4,0.86,80,0.46,50,0.17,0.74,0.11,0.86,60
Héber,1.95,2.28,3.38,12.5,1.6,0,44.44,7.407,0.08,0.25,0,0.25,0,0.08,0.51,50,4.57,0.17,0.17,0.76,0.51,13.72,17.09,0.06,0.93,0.68,0.25,1.86,77.27,1.1,53.85,0.42,1.1,0,1.78,57.14
B. Duke,4.97,4.51,1.68,27.59,3.55,0,37.5,12.5,0.06,0.87,33.33,0.29,0.52,0.06,3.47,38.33,0.69,1.21,0.52,1.04,1.91,15.99,29.24,0.08,1.1,1.21,0.17,5.95,59.22,1.97,38.24,1.5,0.4,0.23,4.86,75
M. Pereyra,5.05,5.57,1.81,28.57,2.64,0,30,0,0.13,0.65,50,0.39,0.19,0,2.27,57.14,1.49,1.42,0.39,0.71,1.55,17.52,32.28,0.15,1.62,1.75,0.65,10.29,77.36,3.95,59.02,2.53,2.46,0.39,9.91,87.58
N. Lodeiro,5.55,5.55,1.55,38.89,2.97,0,25,3.125,0.09,3.31,36.36,2.97,0.3,0.69,1.76,41.46,2.32,1.08,0.17,1.72,2.11,16.61,29.57,0.26,1.59,1.33,0.34,8.13,75.66,4.82,53.57,1.59,1.59,1.2,9.64,82.14
L. Amarilla,3.23,3.35,6.91,35.48,1.56,0,38.1,9.524,0,0.22,50,0,0.22,0,2.79,64,3.9,0.89,0.56,2.12,1.78,13.21,15.49,0.06,0.33,0.78,0.22,2.9,76.92,0.67,66.67,0.78,1,0.11,2.79,56
B. Hlongwane,7.41,4.55,4.69,42,5.13,0,48,12,0.05,1.55,27.27,0.42,1.13,0.14,4.69,48,4.64,1.92,1.13,1.41,1.92,16.01,26.12,0.17,1.03,0.52,0.61,1.45,45.16,2.11,57.78,0.33,1.74,0.28,2.91,64.52
M. García,3.6,3.8,6.82,20,2.07,0.1,29.41,11.765,0.1,0.58,50,0.19,0.39,0,1.85,36.84,4.29,0.78,0.19,2.44,0.49,13.37,4.51,0.14,0.88,0.1,0.78,0.88,44.44,1.07,45.45,0,0.97,0.29,1.27,61.54
R. Alm,5.42,6.01,3.94,42.5,3.46,0,63.64,18.182,0.2,2.56,23.08,0,2.46,0.3,1.77,50,2.86,0.79,0.1,2.17,0.99,15.96,25.87,0.24,1.28,1.08,0.59,2.46,40,2.66,48.15,0.69,1.18,0.59,3.84,66.67
T. Ostrák,5.25,6.71,2.41,28.57,2.32,0,28,8,0.26,0.6,0,0.09,0.52,0.09,4.39,41.18,2.15,1.63,1.12,0.95,0.69,19.29,22.28,0.1,0.69,0.26,0.34,2.93,79.41,1.63,52.63,0.26,0.95,0,2.75,75
M. Tzionis,6.82,6.45,2.07,35.29,3.79,0,25,0,0,0.97,12.5,0,0.97,0,4.38,44.44,1.46,2.07,0.61,2.44,2.31,14.39,11.98,0,0,0.12,0.12,1.83,60,1.95,56.25,0.37,1.22,0,3.41,71.43
D. Etienne,5.12,5.29,0.87,40,3.8,0,22.22,0,0.09,2.78,15.63,2.34,0.43,0.69,4.25,38.78,3.56,2.86,0.78,1.65,1.39,17.44,15.35,0.11,1.22,0.26,0.35,1.39,68.75,3.04,51.43,0.26,1.48,0.52,2.95,73.53
M. Barrios,4.08,3.68,2.69,18.52,2.88,0,41.18,11.765,0.2,2.69,22.22,0.6,2.09,0.3,5.67,49.12,3.28,2.19,0.8,2.98,1.09,17.31,11.4,0.17,0.8,0.3,0.6,0.8,62.5,2.29,39.13,0.3,0.99,0.6,2.09,61.9
C. Baird,4.5,4.13,2.06,23.08,2.23,0,31.58,15.789,0.11,1.01,42.11,0.32,0.69,0.21,2.17,53.66,2.54,1.01,0.53,1.59,1.11,14.89,15.46,0.06,0.63,0.26,0.16,1.38,61.54,1.96,48.65,0.48,1.11,0.42,2.54,68.75
A. Bassi,3.65,2.89,0.83,21.43,2.4,0,41.38,27.586,0,1.47,60,1,0.35,0.06,1.71,51.72,1.3,1.59,0.88,1.47,1.53,15.92,29.3,0.14,1.41,1,0.71,4.48,82.89,2.89,67.35,1.24,1.83,0.88,5.66,80.21
J. Lewis,3.15,3.15,1.87,27.27,1.57,0,45,5,0,1.62,10.53,1.45,0.17,0.09,4,57.45,3.41,2.55,0.51,2.38,1.19,16.74,6.74,0.03,0.51,0.09,0.09,0.68,62.5,0.94,45.45,0.17,0.43,0.26,1.7,65
Elias Manoel,4.17,3.37,4.26,27.08,3.16,0.09,34.62,7.692,0.09,0.89,30,0.36,0.53,0,2.22,48,4.26,0.71,0.18,0.98,0.36,14.36,12.02,0.11,0.71,0.18,0.36,1.07,58.33,0.8,33.33,0.09,0.62,0.27,1.69,68.42
O. Fernandez,5.18,3.87,1.62,9.52,3.58,0.08,47.37,15.789,0.15,0.62,37.5,0.46,0.15,0.08,3.87,54,2.71,2.09,0.54,0.46,2.01,14.46,17.68,0.11,1.55,0.23,0.62,2.09,62.96,1.24,68.75,0.31,1.24,0.23,2.24,58.62
D. Asprilla,6.73,6.63,9.2,35.48,3.8,0,29.41,11.765,0.1,2.57,30.77,1.29,1.19,0.3,3.07,54.84,3.26,1.58,0.49,2.87,1.29,17.74,23.26,0.06,0.59,0.4,0.3,2.08,66.67,2.47,48,0.4,0.69,0.79,3.16,71.88
J. Obrian,4.53,4.26,3.58,35.85,2.88,0,26.67,13.333,0.14,1.22,27.78,0.14,0.95,0.14,2.64,64.1,3.58,0.95,0.47,1.01,1.83,13.65,6.94,0.18,1.22,0.34,0.95,1.69,68,1.49,77.27,0.41,1.35,0.34,3.18,70.21
S. Córdova,3.99,3.65,7.06,37.1,2.41,0,31.25,6.25,0,1.03,11.11,0.23,0.8,0,3.53,51.61,3.42,1.82,0.8,1.48,2.05,15.82,12.11,0.05,0.34,0,0.23,1.25,81.82,1.03,44.44,0,0.68,0.11,1.59,92.86
R. Rubín,3.69,2.88,3.78,30.95,1.59,0.09,27.27,9.091,0.09,0.99,27.27,0.27,0.54,0,1.44,50,3.69,0.63,0.72,1.08,0.81,17.06,16.51,0.08,1.08,0.45,0.36,2.16,83.33,0.9,70,0.27,0.99,0.18,1.8,85
N. Stefanelli,6.14,5.92,1.41,10.53,3,0.07,28.57,4.762,0,1.26,41.18,0.67,0.59,0.15,3.26,36.36,2.29,1.78,0.89,1.26,1.63,15.19,25.8,0.08,1.04,1.41,0.37,3.77,70.59,2.74,37.84,1.7,0.89,0.44,3.77,74.51
N. Gioacchini,5.24,3.21,8.76,34.32,3.31,0.05,51.72,27.586,0,0.16,66.67,0,0.16,0.1,1.87,41.67,3.63,0.67,0.26,2.33,2.44,12.49,6.53,0.05,0.57,0.47,0.31,1.14,63.64,1.09,57.14,0.47,1.09,0.16,1.76,70.59
D. Kreilach,2.96,1.52,5.16,50,2.18,0,36,16,0.08,0.61,25,0.38,0.23,0.08,0.3,50,2.5,0.38,0,2.35,1.67,16.7,24.56,0.05,0.38,0.3,0.23,2.27,66.67,1.36,33.33,0.53,0.83,0.15,2.05,74.07
A. Julio,4.75,3.57,3.78,28.57,3.12,0.11,48.15,14.815,0,0.65,33.33,0,0.65,0.11,3.46,40.63,4.54,1.84,1.19,1.3,0.11,14.89,15.9,0.07,1.19,0.11,0.43,0.97,100,0.76,71.43,0.11,0.86,0.32,1.19,45.45
C. Jean,4.35,4.86,1.62,43.75,2.03,0,53.85,7.692,0,2.13,19.05,0,2.02,0.2,1.72,64.71,1.82,1.01,0.51,2.23,1.42,15.71,26.1,0.09,1.42,0.2,0.4,2.23,63.64,2.23,40.91,0.51,0.91,0.2,3.24,65.63
C. Burke,6.09,6.65,13.39,36.36,3.09,0.09,32,8,0,0.75,50,0.19,0.56,0,3.56,50,2.81,1.12,0.75,1.22,1.03,16.1,14.95,0.1,0.84,0.47,0.56,1.87,50,1.31,50,0.75,0.66,0.28,1.87,85
M. Loría,5.18,4.03,2.19,26.32,3.13,0,54.55,0,0.12,1.84,12.5,1.5,0.35,0,4.37,57.89,1.61,1.27,0.58,1.38,0.92,20.23,35.25,0.04,0.58,0.58,0.35,2.07,44.44,2.42,42.86,0.92,0.92,0.23,3.11,62.96
A. Măţan,4.23,4.39,0.27,20,3.31,0,25,5,0.33,1.46,33.33,0.43,0.98,0.33,4.88,52.22,3.25,2.87,1.08,0.92,1.9,13.67,20.96,0.14,0.81,0.81,0.38,3.03,83.93,2.44,62.22,0.65,1.79,0.54,3.9,90.28
R. Ledezma,2.9,2.81,1.14,38.46,2.28,0,35,0,0.35,1.05,50,0.44,0.61,0,1.58,61.11,1.84,1.32,1.05,0.61,0.79,17.24,24.64,0.15,1.4,0.44,0.53,3.6,80.49,2.46,75,0.53,1.32,0.53,5.36,80.33
J. Stroud,8.35,7.3,1.51,21.74,4.25,0,46.15,15.385,0.2,3.94,26.67,2.76,1.18,0.2,4.27,49.23,2.5,1.51,0.66,1.71,1.38,19.29,25.9,0.07,0.53,0.26,0.53,3.81,68.97,3.29,46,0.59,0.59,1.12,5.98,78.02
I. Angulo,6.1,5.8,0.95,5.26,3.62,0,32.14,10.714,0.1,2.35,34.04,1.1,1.2,0.25,4.6,52.17,3.1,2.1,1,1.9,1.1,15.63,15.66,0.08,0.7,0.25,0.55,2,77.5,2.55,70.59,0.15,1.3,0.75,4.5,82.22
D. Yapi,4.34,4.34,7.09,26.87,1.91,0,30,0,0,0.95,44.44,0.32,0.63,0.11,4.23,60,2.64,1.06,0.53,1.16,1.27,13.64,5.87,0.08,0.53,0.21,0.21,0.74,57.14,1.06,60,0.21,0.42,0.32,0.85,62.5
J. Rosales,7.75,8.21,2.08,27.78,3.41,0,33.33,11.111,0,2.78,16.67,2.66,0.12,0.46,3.59,77.42,1.74,1.62,0.35,1.16,1.16,16.31,21.62,0.07,0.81,0.23,0.23,3.01,73.08,1.97,41.18,0.35,0.69,0.58,5.9,54.9
C. Offor,4.02,3.07,8.24,41.32,2.74,0.07,39.29,10.714,0,0.41,16.67,0.2,0.2,0,3.27,35.42,2.66,0.75,0.34,2.45,1.7,15.38,9.43,0.02,0.41,0.2,0.07,1.57,52.17,0.55,50,0.07,0.34,0.07,0.89,46.15
M. Haile-Selassie,5.33,4.09,1.3,14.29,3.45,0,47.06,23.529,0.19,3.1,20,0.31,2.73,0.31,3.35,42.59,2.98,1.43,0.74,1.98,0.81,17.57,33.64,0.13,1.36,0.25,0.68,1.98,81.25,2.48,42.5,0.43,1.3,0.62,3.35,75.93
C. Ramírez,1.85,0.96,2.37,28.13,1.77,0,41.38,27.586,0.15,0.3,50,0.07,0.22,0,0.37,20,3.62,0,0,1.41,0.89,13.07,14.02,0.04,0.81,0.44,0.3,1.33,55.56,1.11,60,0.3,1.11,0.15,1.63,68.18
T. Bunbury,2.51,3.01,10.9,41.38,1.56,0.06,25.93,7.407,0,0.94,20,0.19,0.75,0.25,1.13,50,3.26,0.69,0.19,2.44,1.25,16.24,1.15,0.04,0.38,0.19,0.19,1.13,50,0.88,28.57,0.13,0.25,0.13,1.25,55
Miguel Berry,2.58,3.01,4.47,34.62,1.16,0,44.44,11.111,0,0.52,16.67,0,0.52,0,1.29,60,2.58,0.77,0.43,0.52,0.95,12.85,3.34,0.02,0.34,0.09,0.17,0.26,66.67,0.26,33.33,0.09,0.09,0.09,0.52,50
T. Barlow,3.06,3.29,8.55,41.28,2.16,0,66.67,11.111,0,0.24,0,0.08,0.16,0,0.47,50,2.98,0.71,0.16,1.41,0.39,12.93,7.44,0.04,0.39,0.16,0.24,2.12,37.04,0.86,63.64,0.24,0.71,0.08,1.57,65
D. Musovski,3.95,4.46,4.63,33.33,1.48,0.09,58.82,29.412,0.17,0.51,16.67,0.09,0.43,0,1.89,31.82,2.57,0.51,0.43,1.8,0.94,13.97,6.24,0.05,0.51,0.26,0.17,1.12,61.54,0.77,66.67,0.26,0.6,0.09,0.77,33.33
F. Boli,2.02,2.02,2.83,20,0.91,0.08,44.44,16.667,0,0.73,33.33,0.08,0.65,0.16,3.31,46.34,3.96,1.53,0.57,1.86,0.89,15.31,11.01,0.04,0.32,0.57,0.08,1.21,66.67,1.21,53.33,0.73,0.48,0.24,1.53,73.68
S. Ibrahim,2.63,2.82,4.61,34.69,1.45,0.09,30,5,0.19,1.13,33.33,0.19,0.94,0.19,2.07,54.55,2.63,1.32,1.13,1.32,1.22,16.64,21.62,0.17,1.41,0.47,0.85,1.88,75,1.69,33.33,0.75,0.85,0.47,1.88,60
B. Wood,2.66,2.1,5.68,27.16,2.03,0.07,45.83,29.167,0.14,0.14,0,0.07,0.07,0,1.61,47.83,2.52,0.7,0.07,1.05,1.68,15.29,7.17,0.01,0.21,0.07,0.21,1.33,63.16,0.49,28.57,0.14,0.21,0,0.98,50
C. Sapong,2.8,2.2,7.74,44.09,1.7,0,22.73,4.545,0,0.37,50,0.24,0.12,0,1.65,59.26,2.56,0.67,0.24,1.71,1.52,14.68,4.31,0.04,0.43,0.06,0.12,1.04,47.06,0.85,78.57,0.06,0.67,0.18,1.16,68.42
S. Rea,3.38,3.15,0.11,0,1.71,0,33.33,0,0,2.37,28.57,1.13,1.24,0.34,3.15,21.43,0.9,1.35,0.9,0.9,0.45,18.73,13.49,0.09,1.01,0.68,0,2.48,77.27,2.37,38.1,0.79,0.68,0.45,3.49,80.65
E. Boateng,4.41,3.25,1.37,21.05,2.65,0,45.45,18.182,0.22,5.06,31.43,4.98,0,0.87,2.31,75,2.67,1.73,0.51,1.44,0.43,17.36,18.53,0.17,1.16,0.07,0.79,2.09,86.21,3.9,46.3,0.22,0.51,1.81,4.33,75
K. Kamara,3.45,2.35,9.09,56.9,2.49,0.24,48.28,17.241,0.08,1.02,23.08,0.47,0.55,0.08,1.96,36,4.23,0.71,0.39,1.88,0.63,14.05,7.77,0.03,0.31,0,0.16,1.1,78.57,0.86,36.36,0,0.55,0.31,1.72,59.09
M. Bogusz,5.37,6.26,1.43,50,2.62,0,53.85,5.128,0.18,1.25,28.57,0.45,0.81,0.09,4.47,64,2.5,1.61,1.07,0.81,2.15,17.39,22.97,0.13,0.89,0.18,0.54,2.95,75.76,2.5,50,0.45,0.98,0.36,3.13,77.14
Célio Pompeu,8.04,9.18,1.75,23.53,4.59,0,29.41,5.882,0,3.92,39.47,2.47,1.44,0.62,7.84,56.58,4.23,2.89,1.65,1.13,0.93,17.37,15.13,0.08,1.13,0.52,0.41,2.27,45.45,2.68,53.85,0.41,0.62,1.44,3.92,60.53
K. Vargas,5.49,3.61,1.88,34.62,4.29,0,34.62,7.692,0.14,5.2,36.11,2.6,2.53,0.65,5.05,52.86,1.37,1.08,0.14,2.53,1.08,19.63,37.76,0.23,1.52,0.58,0.87,2.96,63.41,4.91,48.53,0.94,0.72,2.02,7.58,82.86
D. McGuire,3.45,3.56,5.18,31.25,2.23,0.22,70,35,0.22,0.65,33.33,0.43,0.22,0.11,1.51,42.86,4.96,0.86,0.11,2.59,1.4,14.09,11.92,0.22,0.86,0.43,0.54,1.08,60,0.76,71.43,0.32,0.76,0.11,0.86,62.5
D. Kerr,2.45,3.3,6.49,45.9,1.51,0.21,60,30,0,0.74,14.29,0.11,0.64,0.11,2.34,68.18,2.55,1.49,0.74,1.6,1.49,14.88,3.24,0.04,0.53,0.11,0.32,0.32,66.67,1.06,40,0,0.74,0.11,1.06,70
I. Aliyu,3.61,3.32,4.39,26.67,2.04,0,50,6.25,0,1.07,18.18,0.39,0.59,0.1,3.02,54.84,5.07,1.56,0.49,1.76,0.49,14.31,2.78,0.07,0.49,0.1,0.2,0.88,55.56,0.59,16.67,0.1,0.39,0.2,1.07,63.64
